station,DIFF_TMAX,DIFF_TMIN,DIFF_PRCP,NRECORDS,TMAX,TMIN,PRCP
USW00013781,825738.78,895130.0,2979633.62,22217,37.1669793401,40.2903182248,134.115029932
CA001105155,161927.89,306663.35,535540.72,4355,37.1820642939,70.4163834673,122.971462687
USW00093786,855586.65,636743.475,3096018.9,22989,37.2172191048,27.697745661,134.673926661
USC00189187,1574388.26946,1746823.64166,4662982.09545,42265,37.2504026844,41.3302647973,110.327270684
USC00065892,857220.81,1464649.66,3263507.78,23001,37.2688496152,63.6776514065,141.885473675
FRW00034061,171331.14,186071.77,340567.29,4597,37.2702066565,40.4767826844,74.0846834892
USW00093780,791842.0575,982970.395,2817896.03,21242,37.2771894125,46.2748514735,132.656813389
CHM00053698,733001.55,676571.51,2275555.44,19660,37.2839038657,34.4136068159,115.745444557
USC00355050,1352452.29833,2146818.91339,4760016.43406,36265,37.2935970861,59.1980949508,131.256485153
USC00423097,1579298.12817,4759679.24469,3060484.00805,42236,37.3922276771,112.692471936,72.4615022268
USW00093907,10437.2,6386.29,54624.93,279,37.4093189964,22.8899283154,195.78827957
USC00351360,1589986.64347,2093085.5201,4380534.83824,42488,37.422016651,49.2629806086,103.100518693
USW00013775,11609.37,5523.07,44071.31,310,37.4495806452,17.8163548387,142.165516129
USW00023153,744349.45,1701829.84,1424321.81,19864,37.4722840314,85.6740757149,71.7036754934
CHM00054823,791765.05,663548.75,2870584.69,21121,37.4871005161,31.41654041,135.911400502
USC00295353,1438908.48339,4308249.56507,2707056.09069,38368,37.5028274446,112.287572067,70.5550482353
JA000047761,748615.17,816781.4,3690614.48,19954,37.5170477097,40.9332163977,184.956123083
USW00063855,748534.986389,952441.476528,3096269.5,19914,37.5883793507,47.8277330786,155.482047806
BE000006447,2412282.92,2021472.65,4160775.85,64165,37.5949960259,31.5042881633,64.8449442843
RSM00037018,856736.72,545051.91,3741026.53,22778,37.6124646589,23.9288747915,164.238586794
USR0000CMID,233314.39,231846.78,389803.76,6194,37.6678059412,37.4308653536,62.9324765902
USW00053180,193851.343611,201115.181111,331540.61,5145,37.6776178059,39.0894423928,64.4393799806
USC00369938,1427770.31361,2142915.92028,3966428.93323,37861,37.7108452923,56.5995594485,104.762920505
USC00453222,1391726.05139,3200102.64167,3006900.99222,36902,37.714109029,86.7189486116,81.4834153223
CHM00058027,718159.34,535725.48,2915149.12,19041,37.716471824,28.1353647392,153.098530539
CHM00053898,797425.79,642191.16,2604232.29,21121,37.7551152881,30.4053387624,123.300615028
USW00023066,1499919.07,2302561.89,2708117.46,39722,37.7604116107,57.9669173254,68.1767650169
USC00185715,1547978.72361,1687583.59083,4764025.36556,40961,37.7915266622,41.1997654069,116.306373515
USC00423391,1598804.54731,5008450.99028,2892379.98846,42297,37.7994786229,118.411494675,68.3826273368
JA000047746,798619.75,1001072.14,4294638.64,21118,37.8170162894,47.4037380434,203.36389052
USC00104442,1597938.51755,4893194.72444,2886465.89998,42243,37.8272972456,115.834451257,68.3300404797
JA000047600,661398.03,624163.63,3868986.67,17468,37.8634090909,35.7318313488,221.489962789
CHM00056172,772879.24,1704571.68,1730380.0,20390,37.9048180481,83.5984149093,84.8641490927
USC00427835,1602472.27904,5819026.73144,2984473.51668,42276,37.9050118044,137.643739508,70.5949833637
USC00455699,1612542.82972,3528440.37917,3300205.23576,42383,38.0469251757,83.2513125349,77.8662491037
USC00454338,1399045.5725,3068932.4625,2527599.09667,36767,38.0516651481,83.4697544673,68.7464056536
