,continent,year,TMAX,TMIN,PRCP,NOBS
163,north_america,1946,17.7616386048,4.80603865518,2.35467281385,53290
164,north_america,1947,16.8466330088,4.48390899667,2.3476709493,53290
165,north_america,1948,16.8639104489,4.0742794176,2.40380276761,53436
166,north_america,1949,17.414637502,4.54714596923,2.26965794288,53290
167,north_america,1950,16.2516574326,3.57801860584,2.46469061251,53288
168,north_america,1951,16.1286865574,3.73796242046,2.63865331364,53289
169,north_america,1952,17.3213425348,4.38054570243,2.16362337663,53436
170,north_america,1953,18.0263428549,5.02154521629,2.24186766279,53290
171,north_america,1954,17.5439428159,4.77138515542,2.32377389062,53290
172,north_america,1955,17.1509056496,4.15693024728,2.15259764268,53289
173,north_america,1956,17.2082566275,4.12316043052,2.10978950856,53434
174,north_america,1957,16.8434504403,4.59871103144,2.47392508571,53290
175,north_america,1958,16.7236495828,4.15028057944,2.29551942836,53290
176,north_america,1959,17.0467923387,4.40289175742,2.48665883933,53290
177,north_america,1960,16.434175109,3.85652440006,2.29968153944,53436
178,north_america,1961,16.8115964146,4.21465114958,2.48146528968,53290
179,north_america,1962,16.5343438855,3.92880930288,2.28372712643,53290
180,north_america,1963,17.0227307911,3.88290037916,2.05357100354,53289
181,north_america,1964,17.079783983,4.02263402166,2.32630293365,53436
182,north_america,1965,16.5397424421,3.99860856525,2.39703731347,53290
183,north_america,1966,16.6374204478,3.71522273944,2.12615662403,53290
184,north_america,1967,16.60928095,3.86081102079,2.36597365438,53290
185,north_america,1968,16.6281469418,3.97633918471,2.43875570771,53436
186,north_america,1969,16.2100362518,3.93205231021,2.46175397874,53290
187,north_america,1970,16.6415468229,3.98679187413,2.39845070691,53290
188,north_america,1971,16.692976722,4.04509550732,2.35658886644,53290
189,north_america,1972,15.9616248964,3.70913888284,2.63102948853,53436
190,north_america,1973,17.0700775147,4.99899285617,2.82070944542,53290
191,north_america,1974,16.8901187597,4.1669178373,2.38144306596,53290
192,north_america,1975,16.5845156793,4.21983694869,2.62823776414,53290
193,north_america,1976,16.9154194349,3.28125428915,1.97093219648,53436
194,north_america,1977,16.9963975726,4.24397138019,2.56933947139,53290
195,north_america,1978,16.0368062112,3.38957311799,2.36191537026,53290
196,north_america,1979,16.0236777421,3.53024278285,2.63124266854,53289
197,north_america,1980,16.794723113,4.01250539787,2.25916629805,53436
198,north_america,1981,17.2218971521,4.48117779434,2.43265211735,53290
199,north_america,1982,16.0519745973,3.85891873616,2.78161414525,53290
200,north_america,1983,16.3642253462,4.59039662045,2.93462232806,53290
201,north_america,1984,16.5098119728,4.27492280169,2.55583707882,53436
202,north_america,1985,16.0507388563,3.66335904508,2.42405690581,53290
203,north_america,1986,16.9978992201,4.89022109911,2.614059069,53290
204,north_america,1987,17.7002372699,5.14214231967,2.28056830726,53290
205,north_america,1988,17.2388320278,3.96217585574,2.06448939285,53436
206,north_america,1989,16.2568180102,3.52928728943,2.32337979121,53290
207,north_america,1990,17.5542689144,4.90022140465,2.69391511167,53290
208,north_america,1991,17.2082253526,4.93871476716,2.51506201424,53290
209,north_america,1992,16.320154423,4.46037607064,2.5423847778,53436
210,north_america,1993,15.5859049563,3.95006941875,2.78557448738,53290
211,north_america,1994,16.6642627796,4.27223148889,2.49395812694,53290
212,north_america,1995,16.3794278581,4.46648437846,2.66006409052,53290
213,north_america,1996,15.6245721861,3.69065986922,2.8219097006,53436
214,north_america,1997,16.1175164949,4.26405092317,2.49273970831,53290
215,north_america,1998,17.4988628495,5.88955093931,2.77682707951,53290
216,north_america,1999,17.5097744469,4.85735399227,2.37042360176,53289
217,north_america,2000,16.7451389234,4.44528610107,2.37856905558,53436
218,north_america,2001,17.1719757929,4.93079738963,2.43230426742,53290
219,north_america,2002,17.0562307525,4.75870697987,2.41137641393,53289
220,north_america,2003,16.6473744075,4.41576600037,2.54045787605,53289
221,north_america,2004,16.5934132788,4.66771843899,2.67688357334,53436
222,north_america,2005,17.0616075192,4.92357352106,2.54133067481,53290
223,north_america,2006,17.5654360963,5.3158921482,2.54672563572,53290
224,north_america,2007,17.1021927829,4.82436907428,2.47303876679,53288
225,north_america,2008,16.1238521738,3.8409165182,2.749395146,53436
226,north_america,2009,16.0525410832,4.06712995035,2.65817836153,53290
227,north_america,2010,16.6794460515,4.82916694886,2.7017038417,53289
228,north_america,2011,16.6438262895,4.66807696059,2.7183606803,53289
229,north_america,2012,18.3241468527,5.60877439415,2.31646110836,53435
230,north_america,2013,16.098318753,4.15351034362,2.51765556633,53290
231,north_america,2014,15.9820790968,3.87366742163,2.60709285497,53290
232,north_america,2015,17.348007465,5.18801955741,2.66367347206,53290
233,north_america,2016,9.42698855672,-1.93926532365,2.24855847235,16492
234,oceania,1900,22.087260274,12.7826712329,2.93066666667,1460
235,oceania,1901,22.0643835616,12.7171232877,2.66993150685,1460
236,oceania,1902,22.4566438356,12.6239726027,2.00823059361,1460
237,oceania,1903,21.9844520548,12.9093835616,2.7176826484,1460
238,oceania,1904,22.1693779904,12.7899521531,2.59393369788,1463
239,oceania,1905,22.0153424658,12.4211643836,2.53285502283,1460
240,oceania,1906,22.3949315068,13.0166438356,2.50825342466,1460
241,oceania,1907,22.4459589041,12.8111643836,2.33996004566,1460
242,oceania,1908,22.3032786885,12.5820355191,2.5729095108,1464
243,oceania,1909,22.1228082192,12.6247945205,2.45263959556,1460
244,oceania,1910,22.4454794521,13.1756849315,2.85940525114,1460
245,oceania,1911,22.2324657534,12.7828082192,2.61458447489,1460
246,oceania,1912,22.6661885246,13.0146174863,2.43762978142,1464
247,oceania,1913,22.3220547945,12.9149315068,2.77051190476,1460
248,oceania,1914,22.9883561644,13.3758219178,2.31232485323,1460
249,oceania,1915,22.7719863014,13.2520547945,2.26221135029,1460
250,oceania,1916,21.9881830601,12.9459016393,2.80398264702,1464
251,oceania,1917,21.7138356164,12.6440410959,3.11062035225,1460
252,oceania,1918,22.5189726027,12.8171917808,2.47768775821,1460
253,oceania,1919,22.7239041096,13.0960273973,2.44234311807,1460
254,oceania,1920,22.4081284153,12.9607923497,2.69207948434,1464
255,oceania,1921,22.8231506849,13.4995205479,2.92678590454,1460
256,oceania,1922,22.6602739726,12.7854794521,2.26781803109,1460
257,oceania,1923,22.6733561644,13.0656849315,2.31997749511,1460
258,oceania,1924,22.2346311475,12.7280054645,2.6681362217,1464
259,oceania,1925,22.0374657534,12.6347945205,2.52253424658,1460
260,oceania,1926,22.8385616438,13.1900684932,2.38963307241,1460
261,oceania,1927,22.2832191781,12.6980821918,2.79929726571,1460
262,oceania,1928,22.7648224044,13.224863388,2.90030981655,1464
263,oceania,1929,22.1982876712,12.6801369863,2.95183626875,1460
264,oceania,1930,22.5584931507,13.2488356164,2.83279761905,1460
265,oceania,1931,22.2960932145,12.8387936943,3.20073925389,1459
266,oceania,1932,22.3384562842,12.943442623,2.56379618787,1464
267,oceania,1933,22.3735616438,12.9340410959,2.70617579909,1460
268,oceania,1934,22.2855479452,12.9182191781,3.44948132746,1460
269,oceania,1935,22.3052739726,12.5764383562,2.33177919113,1460
270,oceania,1936,22.6847677596,13.0404371585,2.09681981308,1464
271,oceania,1937,22.5529452055,13.0949315068,2.73227970755,1460
